GPSTime,ISSLat(deg),ISSLon(deg),ISSAlt(m),RadiusLocalCurv(m),VectorPerigeeLat(deg),VectorPerigeeLon(deg),VectorPerigeeAlt(m),beta(rad)
1371332732.224364,-51.46561661,-6.23508201,436412.37505,6391324.390757227,-52.71528006858921,-36.84085678100661,74802.58013347504,6.451241766459773e-06
1371332732.225335,-51.46560913,-6.23498731,436412.37042,6391324.394404233,-52.715290186803095,-36.84086330596108,74800.23327179783,7.17962317499184e-06
1371332732.226307,-51.46560165,-6.23489262,436412.36579,6391324.398051498,-52.71530030502412,-36.840869835095475,74797.88640276271,7.460637223259811e-06
1371332732.227298,-51.46559386,-6.23479389,436412.36097000004,6391324.401849744,-52.71531084484574,-36.840876546454695,74795.4417396243,7.236600808250948e-06
1371332732.228288,-51.46558638,-6.23469927,436412.35634,6391324.405496997,-52.71532096308231,-36.84088315080015,74793.0948554597,6.363609445027247e-06
1371332732.229497,-51.46557703,-6.23458088,436412.35055,6391324.410055796,-52.71533361088827,-36.8408912871642,74790.16123985901,7.620286651253788e-06
1371332732.230209,-51.46557142,-6.23450979,436412.34708000004,6391324.412790861,-52.7153411995773,-36.84089611299811,74788.40106495643,8.013764786847197e-06
1371332732.231198,-51.46556363,-6.23441105,436412.34226,6391324.416588915,-52.715351739429806,-36.84090281601067,74785.95637073077,7.04474369077687e-06
1371332732.232152,-51.46555646,-6.23432039,436412.33782,6391324.420084424,-52.715361436101794,-36.84090916712216,74783.70724492228,7.612475935508662e-06
1371332732.233167,-51.46554835,-6.23421765,436412.33281,6391324.4240366155,-52.715372397564884,-36.840916081608896,74781.16474670151,6.9538930135281695e-06
1371332732.234119,-51.46554119,-6.23412699,436412.32837,6391324.42752985,-52.715382094251055,-36.840922424368785,74778.91560647154,7.456952371856853e-06
1371332732.235102,-51.46553339,-6.23402822,436412.32355,6391324.43133009,-52.715392634135334,-36.840929102327095,74776.47088104906,6.858783906453373e-06
1371332732.236139,-51.4655256,-6.23392969,436412.31872,6391324.435129178,-52.71540317402717,-36.84093600590165,74774.02614771086,7.019070874439397e-06
1371332732.237059,-51.46551843,-6.23383889,436412.31428,6391324.438624178,-52.71541287073538,-36.84094221497463,74771.77698585312,8.002717400264813e-06
1371332732.238035,-51.46551064,-6.2337401,436412.30946,6391324.442422085,-52.715423410642515,-36.84094886369337,74769.33223708025,6.554284466067556e-06
1371332732.238981,-51.46550347,-6.23364941,436412.30502,6391324.445917491,-52.71543310736505,-36.84095518140407,74767.08306105819,6.9128824889099755e-06
1371332732.239981,-51.46549568,-6.23355072,436412.3002,6391324.449715698,-52.71544364728779,-36.84096193040227,74764.63829688597,8.146453644331216e-06
1371332732.241094,-51.46548695,-6.23344016,436412.2948,6391324.453970999,-52.71545545201085,-36.84096946003859,74761.90015148335,6.943605744502737e-06
1371332732.241919,-51.46548072,-6.23336131,436412.29094,6391324.457009267,-52.715463883962734,-36.8409749636956,74759.9443271216,7.839607875616527e-06
1371332732.24292,-51.46547292,-6.23326262,436412.28612,6391324.46080982,-52.715474423908724,-36.840981716881515,74757.49953955517,7.592278357585041e-06
1371332732.243961,-51.46546482,-6.23315999,436412.28109999996,6391324.464759621,-52.715485385461996,-36.84098874003405,74754.95695186731,8.126179687133404e-06
1371332732.244854,-51.46545796,-6.23307319,436412.27686000004,6391324.468103054,-52.71549466062901,-36.84099473348158,74752.80552478785,7.70907865667939e-06
1371332732.245807,-51.46545048,-6.23297842,436412.27223,6391324.4717495935,-52.715504778999794,-36.84100118329275,74750.45850635918,8.243992375116189e-06
1371332732.246771,-51.465443,-6.23288369,436412.26759,6391324.475396002,-52.7155148973783,-36.84100767906665,74748.11148051306,8.99265641709084e-06
1371332732.247882,-51.46543458,-6.23277724,436412.26239000005,6391324.479500356,-52.71552628056349,-36.841015097533784,74745.47106754938,7.183311272604984e-06
1371332732.248963,-51.46542617,-6.23267065,436412.25717999996,6391324.483600978,-52.715537663757544,-36.84102239066124,74742.83064527875,8.144471244636275e-06
1371332732.249717,-51.46542024,-6.23259562,436412.25351,6391324.486489818,-52.71554567415863,-36.841027494856974,74740.9725647785,8.113599286607477e-06
1371332732.250693,-51.46541276,-6.23250095,436412.24887999997,6391324.490136773,-52.71555579256695,-36.84103404077757,74738.62550908374,7.32170837405735e-06
1371332732.251753,-51.46540466,-6.23239839,436412.24386,6391324.494086246,-52.71556675418494,-36.841041143339055,74736.08285699603,6.587398115318684e-06
1371332732.252613,-51.4653978,-6.23231146,436412.23962,6391324.4974294,-52.71557602940616,-36.84104699893044,74733.9313754486,7.333333516127108e-06
1371332732.2558,-51.46537317,-6.23199971,436412.22437,6391324.509434505,-52.715609335935106,-36.841068438724335,74726.20554950162,9.623643007335466e-06
1371332732.256436,-51.46536818,-6.23193653,436412.22129,6391324.511866121,-52.71561608157133,-36.84107274140598,74724.6408154566,8.489424026365543e-06
1371332732.257032,-51.46536351,-6.2318773,436412.21839,6391324.514143751,-52.71562240560795,-36.841076774127316,74723.17387434724,9.089951602861665e-06
1371332732.25763,-51.46535883,-6.23181808,436412.2155,6391324.516424069,-52.71562872964721,-36.84108081520367,74721.70693039046,7.4430911127407505e-06
1371332732.25814,-51.46535509,-6.23177083,436412.21317999996,6391324.518247473,-52.71563378888116,-36.841084180093276,74720.53337310636,8.210509430746418e-06
1371332732.258692,-51.46535073,-6.23171553,436412.21048,6391324.520373483,-52.71563969132282,-36.84108792614171,74719.16422060966,7.67483595807191e-06
1371332732.259427,-51.46534511,-6.23164454,436412.20700999995,6391324.523111189,-52.71564728017999,-36.84109284813627,74717.40387802343,7.31697553379528e-06
1371332732.260411,-51.46533732,-6.23154578,436412.20218,6391324.52690856,-52.71565782026643,-36.8410995303509,74714.95895082627,8.05580701470681e-06
1371332732.261407,-51.46532984,-6.23145119,436412.19755,6391324.530555418,-52.71566793875707,-36.84110615986441,74712.61181320257,8.57977597125874e-06
1371332732.262388,-51.46532204,-6.23135242,436412.19273,6391324.534355404,-52.71567847885926,-36.841112829552685,74710.16687027835,8.276123003284914e-06
1371332732.263341,-51.46531456,-6.23125764,436412.18809999997,6391324.538001108,-52.715688597365045,-36.84111927941518,74707.8197175211,9.026996786689601e-06
1371332732.264517,-51.46530552,-6.23114323,436412.1825,6391324.542407727,-52.71570082390318,-36.841127175195936,74704.9835647164,8.831366526098544e-06
1371332732.265403,-51.46529866,-6.23105641,436412.17826,6391324.545751079,-52.715710099214625,-36.84113313945488,74702.83199338161,8.21895668945554e-06
1371332732.266233,-51.46529242,-6.23097758,436412.1744,6391324.548791536,-52.71571853132177,-36.84113866406261,74700.87601402112,8.065068604624389e-06
1371332732.267328,-51.46528369,-6.23086694,436412.16899,6391324.553045695,-52.715730336280046,-36.841146118586266,74698.13763427679,7.93873930165494e-06
1371332732.268309,-51.46527621,-6.23077229,436412.16436,6391324.556692306,-52.715740454823674,-36.841152685451334,74695.79044368166,8.392396076608623e-06
1371332732.269312,-51.46526841,-6.23067361,436412.15954,6391324.560492375,-52.71575099498143,-36.84115944707753,74693.34544556335,7.355914315600301e-06
1371332732.270178,-51.46526187,-6.23059082,436412.15549,6391324.5636818,-52.715759848720246,-36.841165224948725,74691.29164095936,6.969978823877443e-06
1371332732.271265,-51.46525345,-6.23048426,436412.15028,6391324.567784789,-52.71577123210696,-36.84117254322018,74688.65102670877,7.3976369749689724e-06
1371332732.272211,-51.46524596,-6.23038946,436412.14564,6391324.571433214,-52.715781350680366,-36.84117896386232,74686.30380623363,7.608815918330008e-06
1371332732.273196,-51.46523848,-6.23029482,436412.14101,6391324.575079472,-52.71579146926144,-36.84118554745652,74683.95657836588,7.361181103738876e-06
1371332732.27413,-51.465231,-6.23019997,436412.13638,6391324.578725095,-52.71580158784991,-36.84119191796793,74681.60934306313,8.111341812493471e-06
1371332732.275181,-51.46522289,-6.23009738,436412.13136,6391324.582676828,-52.71581254966298,-36.841198983001846,74679.06649644219,8.728833413511904e-06
1371332732.27617,-51.46521541,-6.23000276,436412.12673,6391324.586323233,-52.71582266826697,-36.84120558331449,74676.7192457734,8.626597759336843e-06
1371332732.277114,-51.46520792,-6.22990795,436412.1221,6391324.589971446,-52.715832786878046,-36.84121199561753,74674.3719877196,8.50902527087699e-06
1371332732.277975,-51.46520137,-6.22982514,436412.11805,6391324.59316328,-52.715841640669346,-36.84121775261639,74672.31813082164,7.5974809756974755e-06
1371332732.279008,-51.46519327,-6.22972247,436412.11303,6391324.597111847,-52.715852602513806,-36.84122474245771,74669.77525253907,7.478320832227705e-06
1371332732.279952,-51.46518609,-6.22963178,436412.10859,6391324.6006093575,-52.71586229953751,-36.841231051927764,74667.52577605892,9.207902818210575e-06
1371332732.281025,-51.46517767,-6.22952516,436412.10338000004,6391324.604711837,-52.715873683008326,-36.84123831173838,74664.88507764462,9.596230703122475e-06
1371332732.281897,-51.46517081,-6.22943828,436412.09913,6391324.608054588,-52.7158829584364,-36.8412442175524,74662.73339046903,7.774140525321875e-06
1371332732.282949,-51.46516271,-6.22933569,436412.09412,6391324.612003373,-52.715893920313796,-36.84125128678863,74660.19047949441,8.063542450576903e-06
1371332732.283828,-51.46515585,-6.22924884,436412.08986999997,6391324.615346224,-52.71590319575527,-36.841257221851606,74658.03877880397,8.474154012842144e-06
1371332732.284818,-51.46514836,-6.22915422,436412.08524,6391324.618994856,-52.71591331442566,-36.8412638263689,74655.69146192088,7.639015262797366e-06
1371332732.285888,-51.46513994,-6.2290476,436412.08003,6391324.6230977485,-52.715924697938824,-36.84127107366362,74653.05072153962,8.439933945774118e-06
1371332732.286787,-51.46513308,-6.22896083,436412.07578,6391324.626440674,-52.715933973401114,-36.84127709229688,74650.8990002361,7.580882313582087e-06
1371332732.287754,-51.4651256,-6.22886612,436412.07115,6391324.630086592,-52.71594409209422,-36.84128360072674,74648.55166083139,7.390249851711996e-06
1371332732.288743,-51.4651178,-6.22876738,436412.06632,6391324.633885951,-52.715954632406735,-36.84129030391995,74646.10650783022,8.41951840672763e-06
1371332732.289778,-51.46510969,-6.22866472,436412.06131,6391324.637836965,-52.71596559434092,-36.84129730215204,74643.56354012384,7.055912708605052e-06
1371332732.290784,-51.46510189,-6.22856606,436412.05647999997,6391324.641636942,-52.715976134670576,-36.841304076379856,74641.11837067976,7.533001020234597e-06
1371332732.291745,-51.46509472,-6.22847544,436412.05204,6391324.645131826,-52.71598583178115,-36.841310456912026,74638.86880771037,8.659962772068581e-06
1371332732.292594,-51.46508786,-6.22838846,436412.0478,6391324.648473849,-52.71599510728418,-36.84131626665595,74636.71704547036,7.164649317209763e-06
1371332732.29367,-51.46507975,-6.22828597,436412.04277999996,6391324.652425317,-52.71600606925051,-36.8413234362003,74634.17404576571,8.12981412122446e-06
1371332732.294637,-51.46507226,-6.22819126,436412.03814,6391324.656073678,-52.71601618799675,-36.841329944652614,74631.8266536502,8.671952161964529e-06
1371332732.295581,-51.46506478,-6.22809645,436412.03351000004,6391324.659718908,-52.71602630675004,-36.84133635701306,74629.47925417614,8.90871269477575e-06
1371332732.296545,-51.46505729,-6.22800173,436412.02888,6391324.663367299,-52.71603642551049,-36.84134285293527,74627.13184735415,8.635919830628426e-06
1371332732.297594,-51.46504918,-6.22789913,436412.02385999996,6391324.667318406,-52.71604738750977,-36.84134990968511,74624.5888149027,8.558873310607715e-06
1371332732.298546,-51.4650417,-6.22780435,436412.01923,6391324.670963534,-52.71605750628561,-36.841356355476705,74622.24139268034,7.165066081516113e-06
1371332732.299474,-51.46503452,-6.22771359,436412.01479,6391324.674460262,-52.7160672034532,-36.84136259815381,74619.9917727401,7.270246400059672e-06
1371332732.300471,-51.46502704,-6.227619,436412.01016,6391324.678106108,-52.71607732224415,-36.84136923196377,74617.64433600318,6.590829153151506e-06
1371332732.301423,-51.46501955,-6.22752423,436412.00552,6391324.681754223,-52.716087441042234,-36.841375677765654,74615.2968918758,8.190618652386282e-06
1371332732.302388,-51.46501207,-6.22742951,436412.00089,6391324.685399723,-52.71609755984786,-36.8413821778841,74612.94944034082,7.070084887752759e-06
1371332732.303328,-51.46500489,-6.2273388,436411.99645,6391324.688896544,-52.716107257043326,-36.84138847070727,74610.69979240252,6.925555805406598e-06
1371332732.304382,-51.46499647,-6.2272321,436411.99124,6391324.692998149,-52.71611864071627,-36.84139565121524,74608.05889263129,6.85145404103646e-06
1371332732.30529,-51.46498961,-6.22714538,436411.98699,6391324.696341415,-52.71612791630891,-36.8414017075022,74605.90704145597,6.114146542361452e-06
1371332732.306364,-51.46498119,-6.22703877,436411.98178000003,6391324.700443565,-52.716139299999064,-36.84140897157914,74603.26612469966,6.598603092855076e-06
1371332732.307301,-51.46497401,-6.22694804,436411.97734000004,6391324.703939917,-52.71614899722383,-36.84141525187954,74601.0164475338,7.272722342835501e-06
1371332732.308353,-51.4649659,-6.22684546,436411.97232,6391324.7078911625,-52.716159959312776,-36.841422321202,74598.47332596446,6.882850849777694e-06
1371332732.309203,-51.46495935,-6.2267626,436411.96827,6391324.711082065,-52.716168813313516,-36.84142803232339,74596.4192599722,7.733812748786332e-06
1371332732.310229,-51.46495124,-6.2266599,436411.96325,6391324.715032359,-52.71617977541748,-36.841434993019675,74593.87612278524,7.286112443437278e-06
1371332732.311191,-51.46494375,-6.22656517,436411.95862,6391324.718680331,-52.71618989429108,-36.84144148063223,74591.5286037669,7.379517370864456e-06
1371332732.312151,-51.46493627,-6.22647043,436411.95398000005,6391324.722325588,-52.71620001317173,-36.8414479598888,74589.18107739862,8.225916333189547e-06
1371332732.313171,-51.46492847,-6.22637182,436411.94916,6391324.726124886,-52.71621055368011,-36.84145479267903,74586.73572960621,7.775102344511512e-06
1371332732.314026,-51.46492192,-6.22628899,436411.9451,6391324.729316187,-52.716219407713965,-36.84146052470794,74584.68163118981,7.98736145734919e-06
1371332732.315097,-51.46491349,-6.22618237,436411.93989,6391324.733420788,-52.71623079147927,-36.84146777627859,74582.04063928095,7.890604305755768e-06
1371332732.316114,-51.46490569,-6.22608375,436411.93507,6391324.737220093,-52.71624133201147,-36.84147459654395,74579.59526803011,9.082492351733031e-06
1371332732.317005,-51.46489883,-6.22599695,436411.93082,6391324.740562463,-52.71625060768614,-36.84148058183672,74577.44333473718,6.899518576204713e-06
1371332732.317938,-51.46489134,-6.2259021,436411.92618999997,6391324.744209915,-52.71626072661114,-36.84148694830162,74575.09576401417,6.885443065242366e-06
1371332732.318975,-51.46488354,-6.22580356,436411.92136000004,6391324.748009289,-52.71627126716634,-36.84149385213976,74572.65036997978,6.529821648743117e-06
1371332732.319931,-51.46487606,-6.2257088,436411.91673,6391324.751654169,-52.71628138610635,-36.84150031470858,74570.30278419814,5.895904622691855e-06
1371332732.320918,-51.46486826,-6.22561006,436411.9119,6391324.755453165,-52.716291926677,-36.84150700964739,74567.85737444708,6.721158668387863e-06
1371332732.321884,-51.46486077,-6.22551534,436411.90726999997,6391324.75910066,-52.71630204563279,-36.841513514003395,74565.50977350384,6.544105154682328e-06
1371332732.32289,-51.46485297,-6.22541668,436411.90244000003,6391324.762899922,-52.71631258621907,-36.84152028833188,74563.06434806064,6.1545281157241375e-06
1371332732.323887,-51.46484548,-6.2253221,436411.89781000005,6391324.766548314,-52.716322705189604,-36.841526922212324,74560.71673210015,6.151700121533894e-06
1371332732.324831,-51.46483799,-6.22522729,436411.89317,6391324.770195509,-52.71633282416723,-36.84153333465764,74558.36910874685,7.6282970314513985e-06
1371332732.325788,-51.4648305,-6.22513253,436411.88854,6391324.773842677,-52.716342943152995,-36.84153980142446,74556.02147792085,7.117141155952903e-06
1371332732.326779,-51.46482302,-6.22503792,436411.88391,6391324.777488102,-52.71635306214575,-36.841546410245314,74553.67383978456,7.806025100903465e-06
1371332732.327745,-51.46481553,-6.22494321,436411.87927,6391324.781135931,-52.7163631811461,-36.841552914617125,74551.32619420788,7.813049971270379e-06
1371332732.328829,-51.4648071,-6.22483664,436411.87406,6391324.785240197,-52.716374565030584,-36.841560220552935,74548.68508407421,8.337582026633749e-06
1371332732.329706,-51.46480024,-6.22474978,436411.86981,6391324.788582042,-52.716383840794734,-36.841566147385436,74546.53306155103,8.090560055724008e-06
1371332732.330697,-51.46479244,-6.22465106,436411.86499000003,6391324.79238103,-52.716394381443635,-36.84157285906775,74544.0875738362,7.5905060419887795e-06
1371332732.33173,-51.46478464,-6.22455251,436411.86016,6391324.796180368,-52.71640492210086,-36.84157974623315,74541.64207810114,7.2579102807686125e-06
1371332732.332625,-51.46477746,-6.22446161,436411.85572,6391324.79967583,-52.71641461951199,-36.841585851128514,74539.39221497258,7.820635573979429e-06
1371332732.333594,-51.46476997,-6.22436691,436411.85108,6391324.803323461,-52.716424738557436,-36.84159236805232,74537.044524445,7.747767092374481e-06
1371332732.334523,-51.4647628,-6.22427615,436411.84664,6391324.806816705,-52.71643443598303,-36.84159861500768,74534.79464739651,7.025959657164657e-06
1371332732.335586,-51.46475468,-6.22417361,436411.84162,6391324.8107697945,-52.71644539829815,-36.84160573037536,74532.25130000552,6.591556010121992e-06
1371332732.336516,-51.46474751,-6.22408286,436411.83718000003,6391324.814263283,-52.71645509573849,-36.84161198151827,74530.00140846899,5.649901638409788e-06
1371332732.337585,-51.46473908,-6.22397623,436411.83197,6391324.818367234,-52.71646647969816,-36.84161922480803,74527.36022286027,4.913954558678093e-06
1371332732.338573,-51.46473159,-6.22388161,436411.82734,6391324.822015069,-52.71647659878152,-36.84162582113021,74525.01249447204,5.852191484033389e-06
1371332732.339503,-51.4647241,-6.22378674,436411.8227,6391324.825661673,-52.71648671787216,-36.841632175129234,74522.66475865847,5.033369151560115e-06
1371332732.340474,-51.46471661,-6.22369205,436411.81807,6391324.829309261,-52.71649683697077,-36.84163870043096,74520.31701541955,6.103495249674045e-06
1371332732.341377,-51.46470975,-6.2236053,436411.81382000004,6391324.8326513255,-52.71650611281721,-36.84164473592625,74518.16491102421,6.621475530528214e-06
1371332732.342366,-51.46470195,-6.22350656,436411.80899,6391324.836449493,-52.71651665355921,-36.84165143928794,74515.71933029669,6.366752157360441e-06
1371332732.343329,-51.46469446,-6.22341184,436411.80436,6391324.8400970595,-52.716526772679465,-36.841657931174325,74513.37156522479,6.75665665117962e-06
1371332732.344256,-51.46468728,-6.22332107,436411.79992,6391324.843592585,-52.71653647017699,-36.84166416980395,74511.12161671164,6.383651231208641e-06
1371332732.345345,-51.46467885,-6.22321453,436411.79469999997,6391324.847696946,-52.71654785420387,-36.84167149668218,74508.48036423496,7.647146169806922e-06
1371332732.346323,-51.46467136,-6.22311986,436411.79007,6391324.851344088,-52.7165579733468,-36.84167805124832,74506.13257640469,7.5659340464761425e-06
1371332732.347233,-51.46466419,-6.22302903,436411.78563,6391324.854837219,-52.71656767086612,-36.84168421885846,74503.88260606103,4.923023593098323e-06
1371332732.348204,-51.4646567,-6.22293433,436411.78099,6391324.858484185,-52.71657779002351,-36.84169074418179,74501.53480375606,7.256954171723821e-06
1371332732.34923,-51.46464889,-6.22283575,436411.77616999997,6391324.862285581,-52.71658833082078,-36.84169760215525,74499.08916845056,7.156377955925904e-06
1371332732.350206,-51.46464109,-6.22273697,436411.77134,6391324.866084037,-52.71659887162544,-36.84170425122636,74496.64352516584,5.873667427473712e-06
1371332732.351207,-51.4646336,-6.2226424,436411.76671,6391324.869731595,-52.7166089908065,-36.84171090190364,74494.29569999514,6.649768684777278e-06
1371332732.3521,-51.46462642,-6.22255149,436411.76226,6391324.873226552,-52.71661868836129,-36.841716998499805,74492.04569396378,5.172685589253165e-06
1371332732.353106,-51.46461862,-6.22245283,436411.75743999996,6391324.87702514,-52.71662922918938,-36.841723772921625,74489.60002757348,5.4541867094035004e-06
1371332732.354038,-51.46461144,-6.22236209,436411.75299,6391324.880520961,-52.71663892675861,-36.841730032470764,74487.35000738395,5.667298340935704e-06
1371332732.355013,-51.46460395,-6.22226741,436411.74835999997,6391324.884167989,-52.71664904596827,-36.84173657452567,74485.00215302993,5.021779692627309e-06
1371332732.355983,-51.46459646,-6.22217271,436411.74373,6391324.887814967,-52.71665916518593,-36.84174309569721,74482.654291198,4.780396295726982e-06
1371332732.356954,-51.46458897,-6.22207802,436411.73909000005,6391324.891462202,-52.71666928441039,-36.84174962105004,74480.30642205711,5.98087720597337e-06
1371332732.357923,-51.46458148,-6.22198332,436411.73446,6391324.895109314,-52.716679403642594,-36.84175613804865,74477.95854548995,5.658320349724869e-06
1371332732.358913,-51.46457368,-6.22188459,436411.72963,6391324.898907392,-52.71668994451668,-36.84176284563921,74475.5128329264,5.62605764470899e-06
1371332732.359915,-51.46456587,-6.22178591,436411.7248,6391324.902708207,-52.71670048539995,-36.84176960337305,74473.06711221639,6.987475650569294e-06
1371332732.360904,-51.46455838,-6.22169129,436411.72017000004,6391324.9063553875,-52.71671060465484,-36.84177620394121,74470.71921289145,6.432402395372917e-06
1371332732.36182,-51.4645512,-6.22160048,436411.71572000004,6391324.909850665,-52.71672030228121,-36.841782396661756,74468.46913572241,5.979897128321395e-06
1371332732.362868,-51.46454309,-6.22149788,436411.7107,6391324.913800439,-52.716731264823274,-36.841789449446026,74465.92556209865,6.226920342743207e-06
1371332732.363823,-51.4645356,-6.22140312,436411.70606999996,6391324.917447147,-52.716741384101084,-36.84179590797032,74463.57764021271,5.982054418073823e-06
1371332732.364791,-51.46452811,-6.22130841,436411.70143,6391324.921093829,-52.716751503386156,-36.84180242081118,74461.22971096872,5.686633968747104e-06
1371332732.365777,-51.4645203,-6.22120967,436411.6966,6391324.92489459,-52.71676204431522,-36.84180911171211,74458.78394356118,6.550960948192124e-06
1371332732.366722,-51.46451312,-6.22111898,436411.69216,6391324.928390144,-52.71677174197813,-36.841815425611685,74456.53383035501,6.301127308353366e-06
1371332732.367736,-51.46450532,-6.22102035,436411.68733,6391324.9321883675,-52.71678228292318,-36.84182223350325,74454.08804749795,5.580470514375226e-06
1371332732.368658,-51.46449814,-6.22092957,436411.68289,6391324.93568382,-52.71679198059991,-36.841828451311926,74451.8379201633,4.778962686307745e-06
1371332732.369633,-51.46449065,-6.22083489,436411.67825999996,6391324.939330539,-52.716802099921786,-36.841834993412476,74449.48995399775,5.343554676233056e-06
1371332732.37062,-51.46448284,-6.22073615,436411.67343,6391324.943131017,-52.71681264089011,-36.84184168850743,74447.0441480099,4.306862833547255e-06
1371332732.371609,-51.46447504,-6.22063742,436411.6686,6391324.946928986,-52.716823181866474,-36.84184839196263,74444.598334008,4.816703851216367e-06
1371332732.372663,-51.46446692,-6.22053484,436411.66358,6391324.950880977,-52.71683414449063,-36.841855469849065,74442.05467892521,5.397027205443342e-06
1371332732.373583,-51.46445974,-6.22044405,436411.65914,6391324.954376224,-52.716843842203765,-36.84186167931648,74439.80451527979,5.2005758289439e-06
1371332732.374521,-51.46445256,-6.22035333,436411.6547,6391324.957871481,-52.71685353992357,-36.84186796398984,74437.55434488106,5.344223592914928e-06
1371332732.375501,-51.46444507,-6.22025868,436411.65006,6391324.961518563,-52.71686365929121,-36.84187452700121,74435.20633367839,4.7147482344068555e-06
1371332732.37649,-51.46443727,-6.22015994,436411.64522999997,6391324.965315968,-52.716874200306265,-36.84188123047005,74432.76048087903,4.695116817464487e-06
1371332732.377499,-51.46442946,-6.2200613,436411.64040000003,6391324.969116988,-52.7168847413298,-36.841888017504345,74430.31462003455,5.184148265013079e-06
1371332732.378377,-51.46442259,-6.21997444,436411.63615,6391324.972460293,-52.7168940174371,-36.841893948651716,74428.16225584433,6.25131985239838e-06
1371332732.379457,-51.46441416,-6.21986786,436411.63094,6391324.976563586,-52.71690540175856,-36.84190123804308,74425.52070957901,5.8573450175292795e-06
1371332732.380362,-51.4644073,-6.21978112,436411.62669,6391324.9799049925,-52.71691467788018,-36.84190728200349,74423.36833152543,5.861218929752666e-06
1371332732.38138,-51.46439949,-6.21968251,436411.62186,6391324.9837057125,-52.71692521893466,-36.84191410665244,74420.92243988143,6.069913219599737e-06
1371332732.382312,-51.464392,-6.21958765,436411.61723,6391324.987351504,-52.7169353383546,-36.84192046913614,74418.57437629942,5.442000129265996e-06
1371332732.383335,-51.46438419,-6.21948906,436411.61240000004,6391324.991152213,-52.71694587942491,-36.84192731468261,74416.12846893488,5.693361553308698e-06
1371332732.384341,-51.46437639,-6.2193904,436411.60757,6391324.994950107,-52.71695642050258,-36.84193408920248,74413.68255361736,4.386908043075233e-06
1371332732.385225,-51.46436952,-6.21930358,436411.60332,6391324.99829405,-52.71696569665807,-36.84194004543701,74411.53014144505,3.915656797152387e-06
1371332732.386332,-51.46436109,-6.21919711,436411.5981,6391325.002397452,-52.716977081039126,-36.84194744766086,74408.88853623015,5.110410738398686e-06
1371332732.387184,-51.46435422,-6.21911015,436411.59384999995,6391325.005740591,-52.71698635720832,-36.841953270200406,74406.73611021292,4.8722485727277946e-06
1371332732.388189,-51.46434642,-6.21901148,436411.58902,6391325.00953812,-52.71699689831808,-36.841960040558945,74404.29016394705,4.057338139490473e-06
1371332732.389153,-51.46433892,-6.21891676,436411.58439,6391325.013187114,-52.71700701779016,-36.841966536760424,74401.94204809237,4.795293654074198e-06
