GPSTime,ISSLat(deg),ISSLon(deg),ISSAlt(m),RadiusLocalCurv(m),VectorPerigeeLat(deg),VectorPerigeeLon(deg),VectorPerigeeAlt(m),beta(rad)
1371332732.208,-51.46574343,-6.23668837,436412.45356,6391324.3289147755,-52.71510848167622,-36.84074655752045,74842.37787026315,7.181384007423429e-06
1371332732.209058,-51.46573533,-6.2365858,436412.44855000003,6391324.332865131,-52.71511944293871,-36.8407536515852,74839.83557226123,7.479706001975432e-06
1371332732.209733,-51.46573003,-6.23651867,436412.44526999997,6391324.335449022,-52.7151266099224,-36.840758219949805,74838.17329583039,6.425406116103238e-06
1371332732.210897,-51.465721,-6.2364042,436412.43967000005,6391324.339853807,-52.71513883596277,-36.84076606539696,74835.3376391496,7.604036559567179e-06
1371332732.211726,-51.46571445,-6.23632126,436412.43562,6391324.343046579,-52.71514768930855,-36.84077168852377,74833.28422590725,7.661787762765215e-06
1371332732.212725,-51.46570698,-6.23622668,436412.43099,6391324.346691818,-52.71515780742563,-36.84077833042636,74830.93746094604,7.621052678290465e-06
1371332732.214085,-51.46569638,-6.23609245,436412.42443,6391324.351859087,-52.7151721414371,-36.840787508955486,74827.6128646051,8.131476725256077e-06
1371332732.214679,-51.46569171,-6.23603321,436412.42154,6391324.3541371785,-52.715178465270164,-36.84079153323813,74826.14612623435,7.159935271298257e-06
1371332732.215628,-51.46568423,-6.23593842,436412.41690999997,6391324.357784155,-52.71518858340939,-36.840797966247294,74823.79933880421,6.684936384352206e-06
1371332732.216648,-51.46567644,-6.23583981,436412.41209,6391324.361583013,-52.71519912314595,-36.840804798734496,74821.35476068576,7.787706382789442e-06
1371332732.217623,-51.46566896,-6.23574513,436412.40746,6391324.365230393,-52.715209241300236,-36.84081134037848,74819.0079581869,6.644713353010602e-06
1371332732.218518,-51.4656621,-6.23565835,436412.40322,6391324.368574907,-52.71521851628181,-36.84081734210878,74816.85671603071,6.728915302916293e-06
1371332732.219617,-51.46565338,-6.23554772,436412.39782,6391324.372827419,-52.715230320812566,-36.840824813177335,74814.11876248952,5.874186178230086e-06
1371332732.220562,-51.46564621,-6.23545703,436412.39338,6391324.376323382,-52.71524001739923,-36.84083112665445,74811.86972169045,6.705296348728998e-06
1371332732.221466,-51.46563904,-6.23536617,436412.38894000003,6391324.379818779,-52.7152497139924,-36.84083726883131,74809.62067411149,6.807157306958606e-06
1371332732.222414,-51.46563188,-6.23527549,436412.38451,6391324.383312042,-52.7152594105927,-36.84084359484632,74807.37161974273,6.5974937997303575e-06
1371332732.223419,-51.46562409,-6.23517682,436412.37968,6391324.38711065,-52.71526995038288,-36.84085036468383,74804.92698775591,6.949865987092066e-06
